CHEMBLID,smiles,ido_ic50,tdo_ic50
CHEMBL1098875,O=C1c2cc(F)ccc2-n2c1nc1ccccc1c2=O,7.638272163982407,7.221848749616356
CHEMBL1209728,Cc1c(Br)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,5.0,5.0
CHEMBL1276265,O=C1c2ccc(Cl)cc2-n2c1nc1ccccc1c2=O,6.73754891026957,3.6493643917410457
CHEMBL1346056,Oc1ccccc1-c1nc2c3ccccc3c3ccccc3c2[nH]1,4.928486194904911,4.911863911299449
CHEMBL139935,O=[N+]([O-])c1cc(F)c2cccnc2c1O,4.835349784065703,4.519561852822183
CHEMBL1403970,Nc1cccc2c([As](=O)(O)O)cccc12,4.339798798619318,4.421704694879174
CHEMBL1442185,Cc1ccccc1Cn1nnc2c1C(=O)c1ccccc1C2=O,6.092105164583717,6.251037138743839
CHEMBL1487639,O=Cc1ccc(O)c2ncccc12,5.359518563029578,4.0
CHEMBL1537588,Cc1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,5.336110701377339,5.758204568704802
CHEMBL162783,CC1Oc2cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)C(C)C6=O)c(O)cc(O)c3c(O)c2C(=O)C1C,4.355659901173677,4.313810765755976
CHEMBL1644447,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccccc1,6.052566278112949,6.066512712151295
CHEMBL1652342,O=C1Nc2ccccc2/C1=N/Nc1cccc(Cl)c1,5.82102305270683,4.329661358872558
CHEMBL1652343,O=C1Nc2ccccc2/C1=N/Nc1ccc(Cl)cc1,6.200659450546418,4.2726214305485115
CHEMBL1812545,Fc1ccc2c(/C=C/c3nnn[nH]3)c[nH]c2c1,4.0,4.936291440608582
CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,5.0,5.0
CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,5.0,5.008773924307505
CHEMBL1875561,COCCn1c2nc(=O)n(-c3ccccc3)c(=O)c-2nc2ccccc21,4.62397081827182,4.472112434047295
CHEMBL1909733,Brc1ccccc1-c1cnn[nH]1,3.8297382846050425,4.0
CHEMBL1909734,Clc1ccccc1-c1cnn[nH]1,4.0,4.0
CHEMBL1909735,Fc1ccc(-c2cnn[nH]2)cc1,4.0,4.0
CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,3.844663962534938,4.0
CHEMBL194853,Cc1cccc(-c2c[nH]nn2)c1,4.657577319177793,4.0
CHEMBL196408,Cc1ccccc1-c1c[nH]nn1,4.0,4.0
CHEMBL1974436,C[C@@H](CO)C1=C(O)C(=O)c2c(ccc3c2CCCC3(C)C)C1=O,5.0,5.0
CHEMBL1981840,O=[N+]([O-])/C=C/c1cc2ccccc2[nH]1,5.554395796726403,4.0
CHEMBL198194,Nc1cccc(-c2c[nH]nn2)c1,4.0,4.0
CHEMBL198937,Oc1cccc(-c2c[nH]nn2)c1,4.0,4.0
CHEMBL2000037,Cc1cc(=O)n2c3c(c4c(cc13)c(CN(C)C)cc(=O)n4C)OC2.Cl,4.569119053547109,4.753255290276159
CHEMBL2146496,Clc1cc(-c2c[nH]nn2)ccn1,5.552841968657781,4.0
CHEMBL2147989,Clc1cccc(-c2c[nH]nn2)c1,5.920818753952375,4.0
CHEMBL2147990,N#Cc1cccc(-c2c[nH]nn2)c1,5.552841968657781,4.0
CHEMBL2147991,FC(F)(F)c1cccc(-c2c[nH]nn2)c1,5.221848749616356,4.0
CHEMBL2147992,CCc1cccc(-c2c[nH]nn2)c1,5.958607314841775,4.0
